Recency,Frequency,Monetary,Model K = 2,Model K = 3,Model K = 4,Model K = 5
668,1,224294,1,1,1,1
660,1,112147,1,1,1,1
762,1,112995,0,2,2,2
662,1,112147,1,1,1,1
661,3,140296,1,1,1,1
762,1,112995,0,2,2,2
716,1,109598,1,2,2,4
689,1,112147,1,1,3,3
696,1,119935,1,1,3,3
754,1,112995,0,2,2,2
694,1,109598,1,1,3,3
696,1,109598,1,1,3,3
782,1,114475,0,0,0,0
727,1,109598,1,2,2,4
670,1,112147,1,1,1,1
756,1,112995,0,2,2,2
670,1,112147,1,1,1,1
791,1,125200,0,0,0,0
759,1,187860,0,2,2,2
791,1,115200,0,0,0,0
699,1,109598,1,1,3,4
690,2,134237,1,1,3,3
704,1,109598,1,1,3,4
651,1,112147,1,1,1,1
784,1,116275,0,0,0,0
706,1,119935,1,1,3,4
677,1,112147,1,1,3,3
793,1,115200,0,0,0,0
663,1,112147,1,1,1,1
791,1,116440,0,0,0,0
762,1,112995,0,2,2,2
662,1,112147,1,1,1,1
760,1,112995,0,2,2,2
789,1,71609,0,0,0,0
765,1,112617,0,2,2,2
751,1,393948,0,2,2,2
698,1,109598,1,1,3,4
660,1,112147,1,1,1,1
672,1,112147,1,1,1,1
763,1,225234,0,2,2,2
774,1,68094,0,0,0,0
789,1,125544,0,0,0,0
761,1,225990,0,2,2,2
674,1,224294,1,1,3,3
785,1,115875,0,0,0,0
688,1,112147,1,1,3,3
768,1,112617,0,2,2,2
661,1,112147,1,1,1,1
792,1,116560,0,0,0,0
791,1,115200,0,0,0,0
660,1,123192,1,1,1,1
663,1,112147,1,1,1,1
774,1,122052,0,0,0,0
664,1,134237,1,1,1,1
688,1,112147,1,1,3,3
770,1,111744,0,2,2,2
786,1,39637,0,0,0,0
773,1,111744,0,0,0,0
760,1,112995,0,2,2,2
666,1,112147,1,1,1,1
702,1,109598,1,1,3,4
766,1,142165,0,2,2,2
772,1,113104,0,0,0,0
678,1,112147,1,1,3,3
681,1,112147,1,1,3,3
681,1,224294,1,1,3,3
694,1,119935,1,1,3,3
762,1,112995,0,2,2,2
667,1,112147,1,1,1,1
772,1,111744,0,0,0,0
732,1,109598,0,2,2,4
789,1,29728,0,0,0,0
726,1,109598,1,2,2,4
762,1,112995,0,2,2,2
663,1,112147,1,1,1,1
724,1,114696,1,2,2,4
670,1,112147,1,1,1,1
783,1,193729,0,0,0,0
687,1,224294,1,1,3,3
728,1,377789,1,2,2,4
787,1,114475,0,0,0,0
760,1,112995,0,2,2,2
680,2,254880,1,1,3,3
718,1,109598,1,2,2,4
749,1,186093,0,2,2,2
720,1,112147,1,2,2,4
657,1,224294,1,1,1,1
665,1,224294,1,1,1,1
672,1,112147,1,1,1,1
784,1,134293,0,0,0,0
674,1,112147,1,1,1,1
688,1,112147,1,1,3,3
762,1,577530,0,2,2,2
658,1,123192,1,1,1,1
773,1,111744,0,0,0,0
687,1,112147,1,1,3,3
666,1,112147,1,1,1,1
791,1,220000,0,0,0,0
651,1,112147,1,1,1,1
664,1,112147,1,1,1,1
688,1,112147,1,1,3,3
771,1,113544,0,2,2,2
674,2,224294,1,1,3,3
724,1,114696,1,2,2,4
694,1,219197,1,1,3,3
667,1,112147,1,1,1,1
758,1,112995,0,2,2,2
783,1,115835,0,0,0,0
792,1,115880,0,0,0,0
786,1,228949,0,0,0,0
780,1,144202,0,0,0,0
657,1,112147,1,1,1,1
665,1,112147,1,1,1,1
764,1,127167,0,2,2,2
688,1,112147,1,1,3,3
660,1,112147,1,1,1,1
659,1,112147,1,1,1,1
686,1,112147,1,1,3,3
726,1,109598,1,2,2,4
663,1,112147,1,1,1,1
675,1,112147,1,1,1,1
759,1,112995,0,2,2,2
791,1,116800,0,0,0,0
765,1,113857,0,2,2,2
667,1,112147,1,1,1,1
665,1,112147,1,1,1,1
733,1,109598,0,2,2,4
665,1,123192,1,1,1,1
689,1,33134,1,1,3,3
760,1,41850,0,2,2,2
661,1,112147,1,1,1,1
772,1,111744,0,0,0,0
761,1,225990,0,2,2,2
761,1,112995,0,2,2,2
687,1,112147,1,1,3,3
757,1,20646,0,2,2,2
665,1,112147,1,1,1,1
649,1,127440,1,1,1,1
649,1,127440,1,1,1,1
686,1,112147,1,1,3,3
760,1,112995,0,2,2,2
761,1,112995,0,2,2,2
799,1,0,0,0,0,0
759,1,187860,0,2,2,2
781,1,134293,0,0,0,0
688,1,112147,1,1,3,3
695,1,219197,1,1,3,3
666,1,112147,1,1,1,1
791,1,127080,0,0,0,0
679,1,224294,1,1,3,3
736,1,59241,0,2,2,2
768,1,225234,0,2,2,2
663,1,22090,1,1,1,1
648,1,110873,1,1,1,1
698,1,119935,1,1,3,4
800,1,120000,0,0,0,0
774,1,111744,0,0,0,0
717,1,109598,1,2,2,4
708,1,109598,1,2,3,4
681,1,112147,1,1,3,3
688,1,112147,1,1,3,3
694,1,109598,1,1,3,3
697,1,109598,1,1,3,4
770,1,113104,0,2,2,2
760,1,112995,0,2,2,2
720,1,112147,1,2,2,4
679,1,112147,1,1,3,3
735,1,107973,0,2,2,2
748,1,32643,0,2,2,2
761,1,50917,0,2,2,2
775,1,114297,0,0,0,0
758,1,123736,0,2,2,2
777,1,113977,0,0,0,0
663,1,112147,1,1,1,1
760,1,112995,0,2,2,2
680,1,257429,1,1,3,3
771,1,107744,0,2,2,2
653,1,112147,1,1,1,1
659,1,112147,1,1,1,1
779,1,114475,0,0,0,0
762,1,112995,0,2,2,2
684,1,112147,1,1,3,3
785,1,9909,0,0,0,0
789,1,124384,0,0,0,0
688,1,112147,1,1,3,3
762,1,112995,0,2,2,2
660,1,112147,1,1,1,1
688,1,112147,1,1,3,3
671,1,112147,1,1,1,1
694,1,109598,1,1,3,3
782,1,114475,0,0,0,0
661,1,448589,1,1,1,1
694,1,109598,1,1,3,3
753,1,186093,0,2,2,2
648,1,110873,1,1,1,1
766,1,112617,0,2,2,2
694,1,109598,1,1,3,3
762,1,112995,0,2,2,2
681,1,112147,1,1,3,3
681,1,112147,1,1,3,3
654,1,112147,1,1,1,1
679,1,112147,1,1,3,3
674,1,112147,1,1,1,1
679,1,112147,1,1,3,3
792,1,115200,0,0,0,0
784,1,116075,0,0,0,0
791,1,115200,0,0,0,0
718,1,109598,1,2,2,4
738,1,107973,0,2,2,2
681,1,112147,1,1,3,3
688,1,112147,1,1,3,3
711,1,109598,1,2,3,4
687,1,224294,1,1,3,3
658,1,112147,1,1,1,1
761,1,112995,0,2,2,2
664,1,112147,1,1,1,1
670,1,123192,1,1,1,1
770,1,114137,0,2,2,2
663,1,112147,1,1,1,1
649,1,127440,1,1,1,1
785,1,114475,0,0,0,0
684,1,112147,1,1,3,3
683,1,112147,1,1,3,3
791,1,126560,0,0,0,0
682,1,112147,1,1,3,3
694,1,109598,1,1,3,3
761,1,225990,0,2,2,2
705,1,109598,1,1,3,4
688,1,123192,1,1,3,3
789,1,114475,0,0,0,0
779,1,114475,0,0,0,0
717,2,375019,1,2,2,4
753,1,251379,0,2,2,2
671,1,123192,1,1,1,1
762,1,112995,0,2,2,2
712,1,547992,1,2,3,4
731,1,109598,1,2,2,4
685,1,112147,1,1,3,3
673,1,112147,1,1,1,1
680,1,112147,1,1,3,3
672,1,112147,1,1,1,1
663,1,123192,1,1,1,1
693,1,1384549,1,1,3,3
673,1,112147,1,1,1,1
668,1,112147,1,1,1,1
734,1,109598,0,2,2,4
690,1,112147,1,1,3,3
761,1,112995,0,2,2,2
701,1,69762,1,1,3,4
663,1,123192,1,1,1,1
762,1,112995,0,2,2,2
757,1,112995,0,2,2,2
758,1,53707,0,2,2,2
774,1,113864,0,0,0,0
679,1,112147,1,1,3,3
758,1,112995,0,2,2,2
758,1,112995,0,2,2,2
675,1,112147,1,1,1,1
685,1,112147,1,1,3,3
689,1,112147,1,1,3,3
762,1,112995,0,2,2,2
760,1,112995,0,2,2,2
789,1,59899,0,0,0,0
705,1,109598,1,1,3,4
786,1,154112,0,0,0,0
740,1,43524,0,2,2,2
718,1,109598,1,2,2,4
800,1,160000,0,0,0,0
662,1,112147,1,1,1,1
789,1,115035,0,0,0,0
688,2,553089,1,1,3,3
770,1,19497,0,2,2,2
795,1,121720,0,0,0,0
668,2,247421,1,1,1,1
789,1,115955,0,0,0,0
694,1,109598,1,1,3,3
761,1,112995,0,2,2,2
677,1,112147,1,1,3,3
769,1,122366,0,2,2,2
655,1,112147,1,1,1,1
678,1,112147,1,1,3,3
657,1,112147,1,1,1,1
770,1,111744,0,2,2,2
663,2,224294,1,1,1,1
782,1,218517,0,0,0,0
781,1,114475,0,0,0,0
762,1,112995,0,2,2,2
766,1,112617,0,2,2,2
792,1,230400,0,0,0,0
709,1,109598,1,2,3,4
673,2,336441,1,1,3,3
757,1,183954,0,2,2,2
758,2,451859,0,2,2,2
669,1,112147,1,1,1,1
726,1,120643,1,2,2,4
785,1,114475,0,0,0,0
673,1,112147,1,1,1,1
672,1,112147,1,1,1,1
671,1,77314,1,1,1,1
726,1,219197,1,2,2,4
680,1,112147,1,1,3,3
655,1,112147,1,1,1,1
726,1,109598,1,2,2,4
686,1,112147,1,1,3,3
663,1,112147,1,1,1,1
773,1,446976,0,2,2,2
734,1,109598,0,2,2,4
788,1,126344,0,0,0,0
780,1,114475,0,0,0,0
757,1,183954,0,2,2,2
760,1,112995,0,2,2,2
660,1,112147,1,1,1,1
654,1,112147,1,1,1,1
663,1,112147,1,1,1,1
649,1,110873,1,1,1,1
663,1,336442,1,1,1,1
734,1,109598,0,2,2,4
789,1,71129,0,0,0,0
675,1,112147,1,1,1,1
699,1,119935,1,1,3,4
680,1,112147,1,1,3,3
655,1,224294,1,1,1,1
663,1,112147,1,1,1,1
690,1,224294,1,1,3,3
692,1,109598,1,1,3,3
761,1,112995,0,2,2,2
703,1,20674,1,1,3,4
766,1,220384,0,2,2,2
706,2,261992,1,2,3,4
726,1,109598,1,2,2,4
758,1,21483,0,2,2,2
768,2,225234,0,2,2,2
765,1,113937,0,2,2,2
692,1,109598,1,1,3,3
810,1,100000,0,0,0,0
718,1,109598,1,2,2,4
659,1,112147,1,1,1,1
758,1,112995,0,2,2,2
719,1,145282,1,2,2,4
663,1,134237,1,1,1,1
733,1,438394,0,2,2,2
687,1,112147,1,1,3,3
694,1,109598,1,1,3,3
757,1,10323,0,2,2,2
761,1,112995,0,2,2,2
663,1,145282,1,1,1,1
670,1,112147,1,1,1,1
723,1,114696,1,2,2,4
721,1,112147,1,2,2,4
700,1,109598,1,1,3,4
728,1,109598,1,2,2,4
663,1,112147,1,1,1,1
688,1,112147,1,1,3,3
673,1,112147,1,1,1,1
695,1,109598,1,1,3,3
694,2,49774,1,1,3,3
782,1,115835,0,0,0,0
757,1,189627,0,2,2,2
680,1,112147,1,1,3,3
770,1,113464,0,2,2,2
733,1,109598,0,2,2,4
772,1,111744,0,0,0,0
792,1,116680,0,0,0,0
735,1,107973,0,2,2,2
656,1,112147,1,1,1,1
780,1,114475,0,0,0,0
674,1,112147,1,1,1,1
673,1,112147,1,1,1,1
791,1,125200,0,0,0,0
688,1,112147,1,1,3,3
752,1,123876,0,2,2,2
668,1,112147,1,1,1,1
797,1,120000,0,0,0,0
793,1,115200,0,0,0,0
773,1,111744,0,0,0,0
687,1,112147,1,1,3,3
760,1,112995,0,2,2,2
724,1,114696,1,2,2,4
783,1,197299,0,0,0,0
657,1,112147,1,1,1,1
718,1,109598,1,2,2,4
712,1,109598,1,2,3,4
761,1,112995,0,2,2,2
736,1,107973,0,2,2,2
669,1,112147,1,1,1,1
698,1,109598,1,1,3,4
655,1,123192,1,1,1,1
670,1,11045,1,1,1,1
779,1,114475,0,0,0,0
648,1,110873,1,1,1,1
754,1,112995,0,2,2,2
715,1,31010,1,2,2,4
779,1,115835,0,0,0,0
785,1,134293,0,0,0,0
774,1,111744,0,0,0,0
666,1,112147,1,1,1,1
773,1,113384,0,0,0,0
687,1,112147,1,1,3,3
674,1,112147,1,1,1,1
780,1,114475,0,0,0,0
661,1,123192,1,1,1,1
717,1,109598,1,2,2,4
686,1,112147,1,1,3,3
761,1,112995,0,2,2,2
663,1,112147,1,1,1,1
772,2,178491,0,2,2,2
668,1,112147,1,1,1,1
785,1,115955,0,0,0,0
680,1,112147,1,1,3,3
673,1,112147,1,1,1,1
791,1,125200,0,0,0,0
704,1,119935,1,1,3,4
789,1,114475,0,0,0,0
674,1,123192,1,1,1,1
772,1,113144,0,0,0,0
783,1,114475,0,0,0,0
689,1,112147,1,1,3,3
710,1,109598,1,2,3,4
720,1,112147,1,2,2,4
665,1,112147,1,1,1,1
769,1,112617,0,2,2,2
726,1,131688,1,2,2,4
798,1,131880,0,0,0,0
672,1,112147,1,1,1,1
672,1,336442,1,1,3,3
800,1,120000,0,0,0,0
768,1,112617,0,2,2,2
790,1,144202,0,0,0,0
680,1,112147,1,1,3,3
670,1,112147,1,1,1,1
726,1,109598,1,2,2,4
756,1,112995,0,2,2,2
663,1,112147,1,1,1,1
673,1,112147,1,1,1,1
665,1,112147,1,1,1,1
696,1,109598,1,1,3,3
648,1,110873,1,1,1,1
732,1,109598,0,2,2,4
773,1,121492,0,0,0,0
784,1,114475,0,0,0,0
670,1,112147,1,1,1,1
712,1,219197,1,2,3,4
652,1,112147,1,1,1,1
717,1,109598,1,2,2,4
775,1,112617,0,0,0,0
770,1,113857,0,2,2,2
761,1,112995,0,2,2,2
769,1,112617,0,2,2,2
762,1,123179,0,2,2,2
663,1,112147,1,1,1,1
651,1,112147,1,1,1,1
668,1,112147,1,1,1,1
800,1,120000,0,0,0,0
757,1,183954,0,2,2,2
663,1,112147,1,1,1,1
770,1,111744,0,2,2,2
652,1,112147,1,1,1,1
664,1,123192,1,1,1,1
686,1,112147,1,1,3,3
666,1,112147,1,1,1,1
686,1,112147,1,1,3,3
688,2,1108728,1,1,3,3
785,1,114475,0,0,0,0
676,1,112147,1,1,3,3
668,1,112147,1,1,1,1
735,1,107973,0,2,2,2
762,1,123179,0,2,2,2
705,4,456099,1,2,3,4
703,1,109598,1,1,3,4
681,1,112147,1,1,3,3
785,1,114475,0,0,0,0
670,1,112147,1,1,1,1
784,1,114475,0,0,0,0
762,1,112995,0,2,2,2
666,1,112147,1,1,1,1
761,1,123179,0,2,2,2
708,1,109598,1,2,3,4
690,1,112147,1,1,3,3
669,1,112147,1,1,1,1
671,1,112147,1,1,1,1
694,1,109598,1,1,3,3
655,1,112147,1,1,1,1
771,1,219998,0,2,2,2
686,1,112147,1,1,3,3
791,1,115200,0,0,0,0
671,1,123192,1,1,1,1
666,1,112147,1,1,1,1
791,1,455800,0,0,0,0
769,1,112617,0,2,2,2
678,1,112147,1,1,3,3
759,1,112995,0,2,2,2
685,1,123192,1,1,3,3
653,1,112147,1,1,1,1
725,1,573480,1,2,2,4
694,2,154342,1,1,3,3
726,1,109598,1,2,2,4
666,1,112147,1,1,1,1
789,1,19819,0,0,0,0
780,1,115995,0,0,0,0
689,1,112147,1,1,3,3
791,1,125200,0,0,0,0
761,1,112995,0,2,2,2
670,1,224294,1,1,3,3
663,1,112147,1,1,1,1
761,1,112995,0,2,2,2
749,1,112995,0,2,2,2
771,1,111744,0,2,2,2
759,2,255472,0,2,2,2
760,1,112995,0,2,2,2
659,1,112147,1,1,1,1
662,1,112147,1,1,1,1
660,1,112147,1,1,1,1
762,1,123179,0,2,2,2
760,1,112995,0,2,2,2
780,1,114475,0,0,0,0
716,1,109598,1,2,2,4
664,1,112147,1,1,1,1
784,1,567443,0,0,0,0
733,1,547992,0,2,2,2
769,1,113857,0,2,2,2
688,1,112147,1,1,3,3
658,1,134237,1,1,1,1
673,1,112147,1,1,1,1
761,1,112995,0,2,2,2
762,1,112995,0,2,2,2
665,1,123192,1,1,1,1
762,1,112995,0,2,2,2
706,1,109598,1,1,3,4
661,1,11045,1,1,1,1
734,1,109598,0,2,2,4
762,1,112995,0,2,2,2
788,1,133110,0,0,0,0
684,1,112147,1,1,3,3
784,1,114475,0,0,0,0
785,1,114475,0,0,0,0
761,1,112995,0,2,2,2
718,1,109598,1,2,2,4
682,1,112147,1,1,3,3
683,1,112147,1,1,3,3
695,1,59425,1,1,3,3
686,1,112147,1,1,3,3
780,1,114475,0,0,0,0
671,1,112147,1,1,1,1
733,1,109598,0,2,2,4
705,1,109598,1,1,3,4
670,1,224294,1,1,3,3
686,1,112147,1,1,3,3
780,1,114475,0,0,0,0
663,1,112147,1,1,1,1
762,1,112995,0,2,2,2
667,1,112147,1,1,1,1
731,1,109598,1,2,2,4
779,1,228949,0,0,0,0
700,1,130272,1,1,3,4
733,1,109598,0,2,2,4
662,1,112147,1,1,1,1
666,1,112147,1,1,1,1
662,1,112147,1,1,1,1
663,1,112147,1,1,1,1
664,1,112147,1,1,1,1
679,1,112147,1,1,3,3
771,1,122644,0,2,2,2
767,1,114057,0,2,2,2
670,1,134237,1,1,1,1
676,1,112147,1,1,3,3
694,1,140609,1,1,3,3
726,3,330566,1,2,2,4
694,2,219196,1,1,3,3
681,1,369576,1,1,3,3
660,1,112147,1,1,1,1
791,1,115200,0,0,0,0
696,1,31010,1,1,3,3
694,1,109598,1,1,3,3
681,1,145282,1,1,3,3
761,1,112995,0,2,2,2
761,1,112995,0,2,2,2
760,1,112995,0,2,2,2
759,1,234360,0,2,2,2
686,2,562432,1,1,3,3
733,1,109598,0,2,2,4
654,1,112147,1,1,1,1
775,1,112617,0,0,0,0
677,1,123192,1,1,3,3
695,1,109598,1,1,3,3
649,23,2589548,1,1,1,1
675,1,448589,1,1,3,3
678,1,123192,1,1,3,3
757,1,183954,0,2,2,2
697,1,109598,1,1,3,4
659,1,112147,1,1,1,1
730,1,109598,1,2,2,4
800,1,20000,0,0,0,0
693,1,109598,1,1,3,3
692,1,109598,1,1,3,3
711,1,119935,1,2,3,4
773,1,111744,0,0,0,0
668,1,112147,1,1,1,1
662,1,112147,1,1,1,1
696,1,130272,1,1,3,3
773,1,111744,0,0,0,0
654,1,112147,1,1,1,1
659,1,145282,1,1,1,1
732,1,109598,0,2,2,4
784,1,114475,0,0,0,0
668,1,112147,1,1,1,1
718,1,31010,1,2,2,4
694,1,109598,1,1,3,3
680,2,224764,1,1,3,3
687,1,112147,1,1,3,3
662,1,112147,1,1,1,1
784,1,114475,0,0,0,0
762,1,112995,0,2,2,2
672,1,112147,1,1,1,1
695,1,119935,1,1,3,3
756,1,27900,0,2,2,2
773,1,111744,0,0,0,0
770,1,112617,0,2,2,2
663,1,112147,1,1,1,1
648,1,110873,1,1,1,1
663,1,112147,1,1,1,1
705,1,109598,1,1,3,4
689,1,112147,1,1,3,3
694,1,20674,1,1,3,3
761,1,112995,0,2,2,2
791,1,115200,0,0,0,0
800,1,50000,0,0,0,0
790,1,125704,0,0,0,0
779,1,114475,0,0,0,0
762,1,10184,0,2,2,2
789,1,115835,0,0,0,0
663,1,112147,1,1,1,1
783,1,232006,0,0,0,0
783,1,116155,0,0,0,0
670,1,112147,1,1,1,1
764,1,112617,0,2,2,2
715,1,109598,1,2,2,4
688,1,224294,1,1,3,3
663,2,224294,1,1,1,1
673,1,101147,1,1,1,1
671,1,112147,1,1,1,1
785,1,228949,0,0,0,0
782,1,114475,0,0,0,0
780,1,115915,0,0,0,0
789,1,114475,0,0,0,0
688,1,123192,1,1,3,3
663,1,112147,1,1,1,1
760,1,338985,0,2,2,2
789,1,114475,0,0,0,0
686,1,112147,1,1,3,3
691,1,109598,1,1,3,3
746,1,54405,0,2,2,2
751,1,112995,0,2,2,2
760,1,112995,0,2,2,2
763,1,127167,0,2,2,2
722,1,134237,1,2,2,4
760,1,112995,0,2,2,2
694,1,109598,1,1,3,3
756,1,112995,0,2,2,2
694,2,240578,1,1,3,3
703,1,109598,1,1,3,4
693,1,109598,1,1,3,3
749,1,112995,0,2,2,2
704,1,109598,1,1,3,4
733,1,109598,0,2,2,4
699,1,109598,1,1,3,4
759,1,192510,0,2,2,2
765,1,112617,0,2,2,2
772,1,111744,0,0,0,0
772,1,112984,0,0,0,0
688,1,224294,1,1,3,3
663,1,112147,1,1,1,1
684,1,123192,1,1,3,3
738,1,186093,0,2,2,2
782,1,198539,0,0,0,0
753,2,156519,0,2,2,2
769,1,122926,0,2,2,2
687,1,112147,1,1,3,3
694,1,109598,1,1,3,3
649,1,127440,1,1,1,1
765,1,112617,0,2,2,2
717,1,20674,1,2,2,4
754,1,196974,0,2,2,2
666,1,112147,1,1,1,1
678,1,112147,1,1,3,3
766,1,112617,0,2,2,2
674,1,112147,1,1,1,1
780,1,69217,0,0,0,0
677,1,112147,1,1,3,3
756,1,112995,0,2,2,2
687,1,112147,1,1,3,3
783,1,197299,0,0,0,0
664,1,112147,1,1,1,1
662,1,22090,1,1,1,1
772,1,111744,0,0,0,0
688,1,123192,1,1,3,3
733,1,109598,0,2,2,4
761,1,112995,0,2,2,2
694,1,109598,1,1,3,3
675,1,123192,1,1,3,3
783,1,49546,0,0,0,0
655,1,112147,1,1,1,1
666,1,112147,1,1,1,1
791,1,125200,0,0,0,0
756,1,112995,0,2,2,2
664,1,112147,1,1,1,1
704,1,109598,1,1,3,4
759,1,123736,0,2,2,2
756,1,112995,0,2,2,2
673,1,112147,1,1,1,1
728,1,109598,1,2,2,4
757,1,20646,0,2,2,2
782,1,228949,0,0,0,0
782,1,114475,0,0,0,0
688,1,112147,1,1,3,3
712,2,250207,1,2,3,4
779,1,114475,0,0,0,0
663,1,112147,1,1,1,1
777,1,135234,0,0,0,0
788,1,114475,0,0,0,0
688,1,224294,1,1,3,3
737,2,122625,0,2,2,2
687,1,112147,1,1,3,3
662,1,112147,1,1,1,1
761,1,112995,0,2,2,2
790,1,125744,0,0,0,0
663,1,134237,1,1,1,1
762,1,112995,0,2,2,2
694,1,109598,1,1,3,3
763,1,112617,0,2,2,2
752,1,112995,0,2,2,2
687,1,112147,1,1,3,3
786,1,115035,0,0,0,0
791,1,10000,0,0,0,0
661,1,33134,1,1,1,1
658,1,112147,1,1,1,1
689,1,112147,1,1,3,3
663,1,112147,1,1,1,1
763,1,225954,0,2,2,2
761,1,112995,0,2,2,2
669,1,112147,1,1,1,1
694,1,109598,1,1,3,3
738,1,107973,0,2,2,2
669,1,112147,1,1,1,1
648,1,110873,1,1,1,1
663,1,112147,1,1,1,1
760,1,27900,0,2,2,2
760,1,112995,0,2,2,2
